filepath,y_true
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario8_8.jpeg,frontal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_0\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario8_8.jpeg,frontal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_1\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario9_2.jpeg,occlusal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario9_2.jpeg,occlusal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_9.jpeg,occlusal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_1\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_9.jpeg,occlusal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_0\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario8_7.jpeg,frontal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario8_7.jpeg,frontal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_11.jpeg,occlusal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_1\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_11.jpeg,occlusal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_0\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario8_6.jpeg,frontal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario8_6.jpeg,frontal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario9_9.jpeg,frontal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_0\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario9_9.jpeg,frontal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_12.jpeg,occlusal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_1\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_12.jpeg,occlusal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_0\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_10.jpeg,frontal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_10.jpeg,frontal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_1\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_1.jpeg,occlusal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_1.jpeg,occlusal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_3.jpeg,occlusal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_1\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_3.jpeg,occlusal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario9_11.jpeg,occlusal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_1\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario9_11.jpeg,occlusal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_0\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario9_1.jpeg,frontal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario9_1.jpeg,frontal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_1\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario9_5.jpeg,occlusal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario9_5.jpeg,occlusal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario8_3.jpeg,frontal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_0\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario8_3.jpeg,frontal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_1\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario9_3.jpeg,occlusal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario9_3.jpeg,occlusal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_1\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario8_5.jpeg,occlusal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario8_5.jpeg,occlusal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario9_10.jpeg,frontal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_0\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario9_10.jpeg,frontal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_1\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario9_4.jpeg,occlusal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario9_4.jpeg,occlusal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario9_12.jpeg,occlusal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_1\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario9_12.jpeg,occlusal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_8.jpeg,occlusal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_1\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_8.jpeg,occlusal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_2.jpeg,occlusal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_1\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_2.jpeg,occlusal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_1\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario9_7.jpeg,occlusal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario9_7.jpeg,occlusal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_0\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario8_1.jpeg,frontal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario8_1.jpeg,frontal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_4.jpeg,occlusal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_1\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_4.jpeg,occlusal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_1\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario9_8.jpeg,occlusal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario9_8.jpeg,occlusal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_0\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario8_10.jpeg,frontal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario8_10.jpeg,frontal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_1\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_6.jpeg,occlusal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_6.jpeg,occlusal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario8_2.jpeg,frontal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_0\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario8_2.jpeg,frontal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_1\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_7.jpeg,occlusal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_7.jpeg,occlusal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_0\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario8_12.jpeg,frontal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario8_12.jpeg,frontal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_1\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario9_6.jpeg,occlusal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario9_6.jpeg,occlusal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_1\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_5.jpeg,occlusal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_5.jpeg,occlusal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario8_9.jpeg,frontal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_0\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario8_9.jpeg,frontal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario8_11.jpeg,frontal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_0\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario8_11.jpeg,frontal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario8_4.jpeg,frontal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_0\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario8_4.jpeg,frontal
